date,mean_sentiment,count,std
2025-01-06,-0.007891865079365077,20,0.1270526329861163
2025-01-07,0.02150548891694725,20,0.11442307391757311
2025-01-08,0.0801093927154195,20,0.16128529770392983
2025-01-09,0.05296819324641905,40,0.14615950160539626
2025-01-10,0.11485896164021163,20,0.22217525772863247
2025-01-11,0.09573070505883005,20,0.14537689686555805
2025-01-14,0.08885352891156463,20,0.1567405804847977
2025-01-15,0.03177015923890924,40,0.17785168347247693
2025-01-16,0.06816802611195993,40,0.16666294088929162
2025-01-17,0.052711877185314684,40,0.11790253911572032
2025-01-18,-0.004020833333333333,20,0.13216717877028078
2025-01-21,0.03437193286376948,80,0.15328891432012975
2025-01-22,0.015253266759016464,54,0.18131571588639486
2025-01-23,0.06187109015035512,58,0.14397908553390973
2025-01-24,0.07450757575757574,14,0.12003299868123518
2025-01-25,0.017560275372775373,40,0.1079581723227415
2025-01-27,-0.03367646182320096,20,0.0950511303947663
2025-01-28,0.025914313860742437,28,0.13447340331974553
2025-01-29,0.0472462333541879,40,0.15032305745504412
2025-01-30,0.04230621693121693,40,0.10365724097999547
2025-01-31,0.023962155374970498,40,0.1458393102491263
2025-02-01,0.04807527281746032,40,0.13038384853837406
2025-02-02,0.07323043565231066,80,0.13611569489634845
2025-02-03,0.04938173750691499,100,0.18221353066594062
2025-02-04,0.07551136864678532,40,0.15991476636415627
